
101462 ||| Array ||| 2007-07-30 13:37:21 ||| 
101462 ||| Array ||| 2007-07-30 13:37:30 ||| 
101623 ||| Array ||| 2007-07-30 15:48:36 ||| 
101623 ||| Array ||| 2007-07-30 15:49:10 ||| 
71695 ||| Array ||| 2007-07-30 16:31:24 ||| 
71695 ||| Array ||| 2007-07-30 16:31:38 ||| 
101576 ||| Array ||| 2007-07-30 16:46:18 ||| 
101622 ||| Array ||| 2007-07-30 17:04:14 ||| 
101475 ||| Array ||| 2007-07-30 17:52:08 ||| 
101685 ||| Array ||| 2007-07-30 17:56:46 ||| 
101685 ||| Array ||| 2007-07-30 17:58:58 ||| 
101518 ||| Array ||| 2007-07-30 19:37:54 ||| 
74314 ||| Array ||| 2007-07-30 19:49:08 ||| 
101518 ||| Array ||| 2007-07-30 20:00:13 ||| 
101429 ||| Array ||| 2007-07-30 22:20:43 ||| 
101690 ||| Array ||| 2007-07-30 22:54:38 ||| 
101690 ||| Array ||| 2007-07-30 22:54:55 ||| 
101693 ||| Array ||| 2007-07-30 23:30:58 ||| 
